x;value
-10.00;0.544021
-9.95;0.501405
-9.90;0.457536
-9.85;0.412523
-9.80;0.366479
-9.75;0.319519
-9.70;0.271761
-9.65;0.223323
-9.60;0.174327
-9.55;0.124895
-9.50;0.075151
-9.45;0.025219
-9.40;-0.024775
-9.35;-0.074708
-9.30;-0.124454
-9.25;-0.173889
-9.20;-0.222890
-9.15;-0.271333
-9.10;-0.319098
-9.05;-0.366066
-9.00;-0.412118
-8.95;-0.457141
-8.90;-0.501021
-8.85;-0.543648
-8.80;-0.584917
-8.75;-0.624724
-8.70;-0.662969
-8.65;-0.699557
-8.60;-0.734397
-8.55;-0.767401
-8.50;-0.798487
-8.45;-0.827577
-8.40;-0.854599
-8.35;-0.879484
-8.30;-0.902172
-8.25;-0.922604
-8.20;-0.940731
-8.15;-0.956506
-8.10;-0.969890
-8.05;-0.980850
-8.00;-0.989358
-7.95;-0.995394
-7.90;-0.998941
-7.85;-0.999992
-7.80;-0.998543
-7.75;-0.994599
-7.70;-0.988168
-7.65;-0.979268
-7.60;-0.967920
-7.55;-0.954152
-7.50;-0.938000
-7.45;-0.919503
-7.40;-0.898708
-7.35;-0.875667
-7.30;-0.850437
-7.25;-0.823081
-7.20;-0.793668
-7.15;-0.762271
-7.10;-0.728969
-7.05;-0.693845
-7.00;-0.656987
-6.95;-0.618486
-6.90;-0.578440
-6.85;-0.536948
-6.80;-0.494113
-6.75;-0.450044
-6.70;-0.404850
-6.65;-0.358644
-6.60;-0.311541
-6.55;-0.263660
-6.50;-0.215120
-6.45;-0.166042
-6.40;-0.116549
-6.35;-0.066765
-6.30;-0.016814
-6.25;0.033179
-6.20;0.083089
-6.15;0.132792
-6.10;0.182163
-6.05;0.231078
-6.00;0.279415
-5.95;0.327055
-5.90;0.373877
-5.85;0.419764
-5.80;0.464602
-5.75;0.508279
-5.70;0.550686
-5.65;0.591716
-5.60;0.631267
-5.55;0.669240
-5.50;0.705540
-5.45;0.740077
-5.40;0.772764
-5.35;0.803520
-5.30;0.832267
-5.25;0.858934
-5.20;0.883455
-5.15;0.905767
-5.10;0.925815
-5.05;0.943549
-5.00;0.958924
-4.95;0.971903
-4.90;0.982453
-4.85;0.990547
-4.80;0.996165
-4.75;0.999293
-4.70;0.999923
-4.65;0.998054
-4.60;0.993691
-4.55;0.986844
-4.50;0.977530
-4.45;0.965773
-4.40;0.951602
-4.35;0.935053
-4.30;0.916166
-4.25;0.894989
-4.20;0.871576
-4.15;0.845984
-4.10;0.818277
-4.05;0.788525
-4.00;0.756802
-3.95;0.723188
-3.90;0.687766
-3.85;0.650625
-3.80;0.611858
-3.75;0.571561
-3.70;0.529836
-3.65;0.486787
-3.60;0.442520
-3.55;0.397148
-3.50;0.350783
-3.45;0.303542
-3.40;0.255541
-3.35;0.206902
-3.30;0.157746
-3.25;0.108195
-3.20;0.058374
-3.15;0.008407
-3.10;-0.041581
-3.05;-0.091465
-3.00;-0.141120
-2.95;-0.190423
-2.90;-0.239249
-2.85;-0.287478
-2.80;-0.334988
-2.75;-0.381661
-2.70;-0.427380
-2.65;-0.472031
-2.60;-0.515501
-2.55;-0.557684
-2.50;-0.598472
-2.45;-0.637765
-2.40;-0.675463
-2.35;-0.711473
-2.30;-0.745705
-2.25;-0.778073
-2.20;-0.808496
-2.15;-0.836899
-2.10;-0.863209
-2.05;-0.887362
-2.00;-0.909297
-1.95;-0.928960
-1.90;-0.946300
-1.85;-0.961275
-1.80;-0.973848
-1.75;-0.983986
-1.70;-0.991665
-1.65;-0.996865
-1.60;-0.999574
-1.55;-0.999784
-1.50;-0.997495
-1.45;-0.992713
-1.40;-0.985450
-1.35;-0.975723
-1.30;-0.963558
-1.25;-0.948985
-1.20;-0.932039
-1.15;-0.912764
-1.10;-0.891207
-1.05;-0.867423
-1.00;-0.841471
-0.95;-0.813416
-0.90;-0.783327
-0.85;-0.751280
-0.80;-0.717356
-0.75;-0.681639
-0.70;-0.644218
-0.65;-0.605186
-0.60;-0.564642
-0.55;-0.522687
-0.50;-0.479426
-0.45;-0.434966
-0.40;-0.389418
-0.35;-0.342898
-0.30;-0.295520
-0.25;-0.247404
-0.20;-0.198669
-0.15;-0.149438
-0.10;-0.099833
-0.05;-0.049979
0.00;0.000000
0.05;0.049979
0.10;0.099833
0.15;0.149438
0.20;0.198669
0.25;0.247404
0.30;0.295520
0.35;0.342898
0.40;0.389418
0.45;0.434966
0.50;0.479426
0.55;0.522687
0.60;0.564642
0.65;0.605186
0.70;0.644218
0.75;0.681639
0.80;0.717356
0.85;0.751280
0.90;0.783327
0.95;0.813416
1.00;0.841471
1.05;0.867423
1.10;0.891207
1.15;0.912764
1.20;0.932039
1.25;0.948985
1.30;0.963558
1.35;0.975723
1.40;0.985450
1.45;0.992713
1.50;0.997495
1.55;0.999784
1.60;0.999574
1.65;0.996865
1.70;0.991665
1.75;0.983986
1.80;0.973848
1.85;0.961275
1.90;0.946300
1.95;0.928960
2.00;0.909297
2.05;0.887362
2.10;0.863209
2.15;0.836899
2.20;0.808496
2.25;0.778073
2.30;0.745705
2.35;0.711473
2.40;0.675463
2.45;0.637765
2.50;0.598472
2.55;0.557684
2.60;0.515501
2.65;0.472031
2.70;0.427380
2.75;0.381661
2.80;0.334988
2.85;0.287478
2.90;0.239249
2.95;0.190423
3.00;0.141120
3.05;0.091465
3.10;0.041581
3.15;-0.008407
3.20;-0.058374
3.25;-0.108195
3.30;-0.157746
3.35;-0.206902
3.40;-0.255541
3.45;-0.303542
3.50;-0.350783
3.55;-0.397148
3.60;-0.442520
3.65;-0.486787
3.70;-0.529836
3.75;-0.571561
3.80;-0.611858
3.85;-0.650625
3.90;-0.687766
3.95;-0.723188
4.00;-0.756802
4.05;-0.788525
4.10;-0.818277
4.15;-0.845984
4.20;-0.871576
4.25;-0.894989
4.30;-0.916166
4.35;-0.935053
4.40;-0.951602
4.45;-0.965773
4.50;-0.977530
4.55;-0.986844
4.60;-0.993691
4.65;-0.998054
4.70;-0.999923
4.75;-0.999293
4.80;-0.996165
4.85;-0.990547
4.90;-0.982453
4.95;-0.971903
5.00;-0.958924
5.05;-0.943549
5.10;-0.925815
5.15;-0.905767
5.20;-0.883455
5.25;-0.858934
5.30;-0.832267
5.35;-0.803520
5.40;-0.772764
5.45;-0.740077
5.50;-0.705540
5.55;-0.669240
5.60;-0.631267
5.65;-0.591716
5.70;-0.550686
5.75;-0.508279
5.80;-0.464602
5.85;-0.419764
5.90;-0.373877
5.95;-0.327055
6.00;-0.279415
6.05;-0.231078
6.10;-0.182163
6.15;-0.132792
6.20;-0.083089
6.25;-0.033179
6.30;0.016814
6.35;0.066765
6.40;0.116549
6.45;0.166042
6.50;0.215120
6.55;0.263660
6.60;0.311541
6.65;0.358644
6.70;0.404850
6.75;0.450044
6.80;0.494113
6.85;0.536948
6.90;0.578440
6.95;0.618486
7.00;0.656987
7.05;0.693845
7.10;0.728969
7.15;0.762271
7.20;0.793668
7.25;0.823081
7.30;0.850437
7.35;0.875667
7.40;0.898708
7.45;0.919503
7.50;0.938000
7.55;0.954152
7.60;0.967920
7.65;0.979268
7.70;0.988168
7.75;0.994599
7.80;0.998543
7.85;0.999992
7.90;0.998941
7.95;0.995394
8.00;0.989358
8.05;0.980850
8.10;0.969890
8.15;0.956506
8.20;0.940731
8.25;0.922604
8.30;0.902172
8.35;0.879484
8.40;0.854599
8.45;0.827577
8.50;0.798487
8.55;0.767401
8.60;0.734397
8.65;0.699557
8.70;0.662969
8.75;0.624724
8.80;0.584917
8.85;0.543648
8.90;0.501021
8.95;0.457141
9.00;0.412118
9.05;0.366066
9.10;0.319098
9.15;0.271333
9.20;0.222890
9.25;0.173889
9.30;0.124454
9.35;0.074708
9.40;0.024775
9.45;-0.025219
9.50;-0.075151
9.55;-0.124895
9.60;-0.174327
9.65;-0.223323
9.70;-0.271761
9.75;-0.319519
9.80;-0.366479
9.85;-0.412523
9.90;-0.457536
9.95;-0.501405
10.00;-0.544021
